token_addr_idx,top1_holder_ratio,pair_holder_ratio,top10_holder_ratio,top20_holder_ratio,token_creator_holder_ratio,price_ratio_realized_vol,price_ratio_range,reserve_base_realized_vol,reserve_quote_realized_vol,swap_buy_share,swap_net_flow_ratio,swap_direction_switch_freq
63,0.4174,0.0,0.9873999999999999,0.9999999999999999,0.0,0.01741837571201376,1.6383780560600005,14.172429161126699,16.82663940775842,0.054608510256483896,-0.8907829794870323,0.3
64,0.9998,0.0,1.0,1.0,0.9998,0.024189579558154393,1.3004386820100002,5.371505327358549,6.825641407855973,0.5837858606634762,0.16757172132695242,0.8
65,0.9634,0.0,0.9999,0.9999,0.9634,0.013634589630728496,0.26119620329999904,14.008702810225826,18.41652491161403,0.37706004696975554,-0.24587990606048887,0.6666666666666666
66,0.4904,0.0,1.0,1.0,0.0,0.19093114300015243,0.72666432793,0.2777446010738584,0.48684013496901346,0.20607114295491372,-0.5878577140901725,1.0
67,0.9783,0.0005,0.9999999999999998,0.9999999999999998,0.9783,0.3747213017179907,35.837815534940006,3.0726561280861127,7.919807736982652,0.15003745909629126,-0.6999250818074174,0.14285714285714285
68,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.8979834133189675,4.610141638953736,0.0,0.0,0.0
69,0.8569,0.0018,0.9874999999999999,0.9993000000000001,0.8569,0.15079027252147228,0.6066283472395,0.228358774546505,0.17849710948768022,0.1355021434277516,-0.7289957131444967,0.17647058823529413
70,0.5369,0.0,1.0001,1.0001,0.5369,0.0726133232272729,1.7404984800500003,14.685906700947482,17.2034500562304,0.28569596162607686,-0.42860807674784623,0.3333333333333333
71,0.7891,0.0,0.9999,0.9999,0.7891,0.024784059615461432,0.4850986560700008,12.363713166461398,14.661484289464907,0.14783590139430863,-0.7043281972113827,0.2
72,0.7524,0.006,0.8064,0.8368,0.0,0.15783782473339714,1.42858463584,0.06474352045648826,0.2127646861954302,0.3621330023124401,-0.27573399537511983,0.2
73,0.9925,0.0,0.9988999999999999,1.0,0.9925,0.005199314525803568,0.9483817442099998,5.337074409509455,6.57147441810222,0.04236804631175746,-0.9152639073764852,0.05555555555555555
74,0.5289,0.0,0.8992000000000001,0.9257000000000001,0.0,0.007659891114890367,0.3801476130599992,0.0029855112651473946,0.011734640257264742,0.28365196455489267,-0.4326960708902147,0.3684210526315789
75,0.2852,0.0,0.987,0.9945,0.0,0.005397174505097079,0.10305409360000084,0.08293073530763609,0.8889481105410805,0.0,-1.0,0.0
76,0.9995,0.0,1.0,1.0,0.9995,0.05214731051780786,1.1551824226999976,20.692242676096093,29.050522937097412,0.0,-1.0,0.0
77,1.0,0.0,1.0,1.0,0.0,0.09891280562974243,1.55280724197,9.637960980025325,10.715644059840786,0.9477301380276036,0.8954602760552073,0.6666666666666666
78,0.875,0.0,1.0,1.0,0.875,0.018401923745239697,0.36398440019999967,13.397754393060513,15.800332203052658,0.36064467960483215,-0.2787106407903358,0.5
79,0.6365,0.0,0.9821,0.9969999999999999,0.6365,0.03132578075173082,2.4172477583800003,0.007823020059927941,0.01428132657572709,0.2924664382633119,-0.4150671234733762,0.47109826589595377
80,0.8682,0.0,1.0001,1.0001,0.8682,0.09291047981229066,3.1349942858999995,16.049984584692528,24.10275272266786,0.23305300106101645,-0.533893997877967,0.5
81,1.0,0.0,1.0,1.0,1.0,0.0011307260059640058,0.021974909439999912,16.759653404500284,19.790758067722013,0.132059851436774,-0.7358802971264521,1.0
82,0.999,0.0,0.9997999999999999,0.9997999999999999,0.999,0.003206067435235541,0.4730029916499987,6.646690192644881,8.269061167623281,0.0,-1.0,0.0
83,0.9885,0.0,1.0,1.0,0.9885,0.0011241437745148411,0.0632586525999983,0.33463021488857475,4.142082073525125,0.32250856888534263,-0.3549828622293147,0.7142857142857143
84,0.8948,0.0,1.0,1.0,0.8948,0.02387335183804436,0.7212810595400008,11.379851007313274,14.1793011843455,0.24995900809479382,-0.5000819838104124,0.6666666666666666
85,0.0991,0.0991,0.40399999999999997,0.5255999999999998,0.0,0.014551512857902212,17.297212438499997,0.12007543246964203,1.9953874139604768,0.411364898757597,-0.177270202484806,0.5181644359464627
86,0.9975,0.0,0.9999000000000001,0.9999000000000001,0.9975,0.02534884928254999,2.6869534140900004,5.672554419284871,6.927595331604434,0.043393518689939445,-0.9132129626201212,0.0625
87,0.8994,0.0,0.9992,0.9998999999999999,0.8994,0.04764801348347105,2.33138030703,0.09305010886591619,0.31664965904649506,0.4443536896331178,-0.1112926207337645,0.4222222222222222
88,0.7456,0.0,0.9992000000000001,0.9999000000000001,0.7456,0.003081646213687277,0.12160101159999925,15.787736983961791,20.407765602392814,0.0,-1.0,0.0
89,0.8458,0.0,0.9966,1.0,0.8458,0.030709359225047698,0.9536283786900004,8.828800032405795,10.468987169346493,0.3704893650604914,-0.2590212698790172,0.5
90,0.9949,0.0,1.0001,1.0001,0.9949,0.007381012179948054,0.23247700743000088,7.876145886257738,9.898616443747374,0.2987404625176744,-0.4025190749646512,0.6666666666666666
91,1.0,0.0,1.0,1.0,1.0,0.033747844718949066,0.18965125950999973,0.027104505125685963,0.09045054720132496,0.05888588326510691,-0.8822282334697861,1.0
92,0.9859,0.0,0.995,0.9991999999999999,0.9859,0.008827870802116458,0.9368380610199996,4.988961721223643,6.154218775166113,0.25343736201064315,-0.49312527597871364,0.24390243902439024
93,1.0,0.0,1.0,1.0,1.0,0.053131794964808424,2.8668504631999987,0.028470810809164384,0.46481826493133876,0.35757181332963056,-0.28485637334073877,0.5714285714285714
94,0.9904,0.0,0.9997999999999999,0.9997999999999999,0.9904,0.02311591591576716,1.7186899276199998,10.098013320621893,12.76035868736871,0.2623120624948997,-0.4753758750102005,0.5
95,0.8694,0.0,1.0,1.0,0.8694,0.015892989256315916,0.5890102095999996,3.4670105525638424,7.682410623169267,0.0,-1.0,0.0
96,0.5,0.2379,0.9893,0.9998999999999999,0.0428,0.062406669813155506,12.710253726199998,3.3116588751713905,5.716414158402007,0.3413334418736611,-0.3173331162526777,0.5681818181818182
97,1.0,0.0,1.0,1.0,0.0,0.028835481867097945,0.21088061728999996,0.07688167224589504,0.10562755465393447,0.0,-1.0,0.0
98,0.9985,0.0,0.9996999999999999,0.9996999999999999,0.9985,0.009403898239203796,1.0538490323400005,6.0646592416691405,7.282457438732477,0.1644635923110304,-0.6710728153779392,0.21428571428571427
99,0.9993,0.0,0.9997999999999999,0.9997999999999999,0.9993,0.005488138987269826,0.29008365398,6.23973235409166,7.601421394518775,0.19797444619438986,-0.6040511076112204,0.46153846153846156
100,0.9895,0.0,0.9965999999999999,0.9993,0.9895,0.02117537581535483,1.7433417923899999,3.8730751548678852,4.9896492781598605,0.2834177087159572,-0.4331645825680857,0.4126984126984127
101,0.9926,0.0,0.9987,0.9998999999999999,0.9926,0.004760176020276466,0.4002723500000016,0.13378587555359522,0.8526333462864216,0.1531653971842831,-0.6936692056314337,0.16
102,0.9126,0.0,0.9956999999999999,0.9998999999999998,0.9126,0.00790186638200428,0.22553664994999956,7.344842068316464,9.042329163030939,0.14665778800734622,-0.7066844239853076,0.2777777777777778
103,0.8632,0.0074,0.9607999999999999,0.9951999999999999,0.8632,0.10649584369717796,0.29703204162600005,0.38610359554411444,0.36434257794571057,0.1014067538600178,-0.7971864922799644,0.16666666666666666
104,0.9748,0.0,0.9999,0.9999,0.0,0.03448348649931946,3.0757214369900003,0.06676303666209708,0.15974973676452747,0.2737365582897747,-0.45252688342045067,0.37142857142857144
105,0.9003,0.0004,0.9996,0.9997,0.9003,0.010743582602384474,1.8466509140000014,4.0826924037913646,5.414009823280887,0.3706254842563875,-0.2587490314872249,0.5700934579439252
106,0.9999,0.0,1.0,1.0,0.9999,0.041025483660830475,1.4848212381000003,16.579185440667647,20.600418617770018,0.3823676542011442,-0.23526469159771157,0.5
107,0.996,0.0,1.0,1.0,0.996,0.0061401597271866564,0.40416533480000005,10.657699040532595,13.711043991905392,0.0,-1.0,0.0
108,0.8904,0.8904,1.0,1.0,0.0,0.04921269927307581,14.0209633016,0.03321407252378044,0.46609578098746696,0.8899152069830123,0.7798304139660247,0.044444444444444446
109,0.5399,0.0,1.0,1.0,0.5399,0.05149830167135038,6.7338019703,4.548644340675737,7.712311198569764,0.3568519957068631,-0.2862960085862739,0.4444444444444444
110,0.9064,0.0,0.9585999999999999,0.9846999999999999,0.9064,0.00533292496193907,3.0561225995,0.0024609076597014033,0.02854847069231556,0.3846390787137594,-0.23072184257248118,0.31010452961672474
111,0.9957,0.0,0.9992,1.0,0.9957,0.003947080193546498,0.35437058070000127,6.567856389138208,8.407371848824432,0.07404969968656475,-0.8519006006268705,0.09090909090909091
112,0.9951,0.0,0.9996999999999999,1.0,0.9951,0.006261269153032079,0.9131659564400003,6.473141359879017,8.154389857811056,0.15612913145681848,-0.6877417370863631,0.17391304347826086
113,0.9999,0.0,0.9999,0.9999,0.9999,0.0011123459352165071,0.06823270059999942,10.79944170570135,13.661815722919561,0.13584269706565147,-0.7283146058686971,0.14285714285714285
114,1.0,0.0,1.0,1.0,1.0,0.16850804994769164,8.443977954500003,0.09137759733835087,1.9306721257418278,0.27937411058682604,-0.4412517788263479,1.0
115,0.6923,0.0,0.9001999999999999,0.9208000000000001,0.6923,0.16640456871763548,2.1487692652999986,0.09776854469802794,0.8235240051393526,0.2457164154607507,-0.5085671690784985,1.0
116,0.8564,0.8564,0.9983000000000001,1.0,0.0,0.026833699061218446,2.9479223475700005,0.009399296467491177,0.030267013856665012,0.34525721223764366,-0.30948557552471273,0.4594594594594595
117,0.9992,0.0,0.9997999999999999,0.9997999999999999,0.9992,0.004510197195185694,0.4227693789,6.305470190165672,8.041189282158072,0.07108863955913997,-0.85782272088172,0.08333333333333333
118,0.9992,0.0,0.9998999999999999,0.9998999999999999,0.9992,0.008286372271195214,0.2111127481999997,7.181577240907523,9.242507671801818,0.2662375776713743,-0.4675248446572514,0.5
119,0.7619,0.0,1.0,1.0,0.7619,0.14232371208319347,1.6200302325500004,0.09191852527541931,0.6245842766414187,0.31236965428179786,-0.3752606914364044,1.0
120,0.9987,0.0,1.0,1.0,0.9987,0.003387675477504094,0.24408550689999942,7.189581531674447,9.245201476082244,0.15427476531293427,-0.6914504693741316,0.2222222222222222
